datetime,city,temperature,humidity,description
18/11/2025 23:49:57,Porto Velho,24.03,94,céu limpo
18/11/2025 23:50:14,Queimados,22.77,98,nuvens dispersas
21/11/2025 17:58:22,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 17:59:33,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:00:39,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:02:25,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:02:45,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:03:08,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:03:50,Porto Velho,28.03,78,nuvens dispersas
21/11/2025 18:04:12,Porto Velho,28.03,78,nuvens dispersas
22/11/2025 18:15:36,Porto Velho,29.03,70,nuvens dispersas
22/11/2025 18:16:31,Boston,5.71,80,nuvens dispersas
22/11/2025 18:16:41,Boston,5.71,80,nuvens dispersas
22/11/2025 18:16:52,Boston,5.71,80,nuvens dispersas
24/11/2025 00:21:42,Maceió,22.69,94,algumas nuvens
24/11/2025 00:24:54,Natal,25.12,78,nublado
24/11/2025 00:26:44,Aracaju,25.97,83,algumas nuvens
